index,TCP_Number,Year,cleaned_year
5645,A19552,1631,1631
5646,A19556,1621,1621
5647,A19558,1635,1635
5648,A19561,1556,1556
5649,A19563,1580,1580
5650,A19564,1548,1548
5651,A19566,1556,1556
5652,A19567,1556,1556
5653,A19568,1639,1639
5654,A19569,1639,1639
5655,A19571,1550,1550
5656,A19576,1571,1571
5657,A19578,1634,1634
5658,A19581,1625,1625
5659,A19589,1609,1609
5660,A19590,1610,1610
5661,A19602,1602,1602
5662,A19604,1625,1625
5663,A19616,1611,1611
5664,A19623,1587,1587
5665,A19625,1629,1629
5666,A19628,1615,1615
5667,A19641,1603,1603
5668,A19646,1637,1637
5669,A19648,1637,1637
