index,TCP_Number,Year,cleaned_year
0,A00005,1515,1515
1,A00007,1528,1528
2,A00008,1623,1623
3,A00011,1640,1640
4,A00012,1623,1623
5,A00014,1624,1624
6,A00015,1607,1607
7,A00018,1558,1558
8,A00021,1599,1599
9,A00024,1622,1622
10,A00025,1613,1613
11,A00026,1600,1600
12,A00028,1635,1635
13,A00033,1569,1569
14,A00034,1622,1622
15,A00044,1579,1579
16,A00049,1622,1622
17,A00075,1597,1597
18,A00089,1640,1640
19,A00091,1538,1538
20,A00092,1538,1538
21,A00102,1559,1559
22,A00156,1624,1624
23,A00157,1563,1563
24,A00158,1577,1577
25,A00159,1580,1580
26,A00164,1626,1626
27,A00171,1631,1631
28,A00179,1565,1565
29,A00190,1632,1632
30,A00191,1571,1571
31,A00193,1580,1580
32,A00198,1554,1554
33,A00201,1571,1571
34,A00211,1635,1635
35,A00214,1640,1640
36,A00215,1615,1615
37,A00227,1549,1549
38,A00229,1567,1567
39,A00230,1605,1605
40,A00233,1636,1636
41,A00234,1591,1591
42,A00235,1635,1635
43,A00249,1588,1588
44,A00254,1569,1569
45,A00256,1619,1619
46,A00257,1566,1566
47,A00259,1593,1593
48,A00260,1626,1626
49,A00261,1547,1547
50,A00263,1603,1603
51,A00265,1609,1609
52,A00267,1571,1571
53,A00268,1577,1577
54,A00271,1589,1589
55,A00275,1566,1566
56,A00277,1566,1566
57,A00281,1574,1574
58,A00283,1584,1584
59,A00285,1630,1630
60,A00287,1621,1621
61,A00289,1640,1640
62,A00293,1640,1640
63,A00301,1567,1567
64,A00303,1610,1610
65,A00313,1621,1621
66,A00316,1542,1542
67,A00320,1534,1534
68,A00321,1625,1625
69,A00325,1519,1519
70,A00327,1550,1550
71,A00329,1534,1534
72,A00331,1540,1540
73,A00332,1557,1557
74,A00333,1606,1606
75,A00338,1545,1545
76,A00341,1537,1537
77,A00342,1559,1559
78,A00344,1532,1532
79,A00350,1532,1532
80,A00354,1537,1537
81,A00356,1526,1526
82,A00358,1531,1531
83,A00361,1526,1526
84,A00363,1533,1533
85,A00364,1572,1572
86,A00374,1545,1545
87,A00375,1534,1534
88,A00376,1547,1547
89,A00377,1536,1536
90,A00378,1529,1529
91,A00380,1537,1537
92,A00381,1535,1535
93,A00384,1549,1549
94,A00386,1534,1534
95,A00387,1534,1534
96,A00389,1538,1538
97,A00391,1543,1543
98,A00392,1533,1533
99,A00393,1536,1536
100,A00395,1640,1640
101,A00397,1586,1586
102,A00400,1579,1579
103,A00401,1596,1596
104,A00402,1552,1552
105,A00403,1608,1608
106,A00405,1611,1611
107,A00408,1613,1613
108,A00412,1584,1584
109,A00414,1608,1608
110,A00419,1616,1616
111,A00423,1581,1581
112,A00426,1639,1639
113,A00429,1570,1570
114,A00430,1609,1609
115,A00437,1579,1579
116,A00439,1625,1625
117,A00440,1577,1577
118,A00446,1564,1564
119,A00448,1615,1615
120,A00452,1630,1630
121,A00454,1568,1568
122,A00455,1565,1565
123,A00457,1568,1568
124,A00458,1570,1570
125,A00459,1636,1636
126,A00460,1602,1602
127,A00461,1618,1618
128,A00462,1622,1622
129,A00465,1611,1611
130,A00472,1583,1583
131,A00475,1638,1638
132,A00476,1610,1610
133,A00477,1592,1592
134,A00478,1635,1635
135,A00483,1544,1544
136,A00489,1580,1580
137,A00499,1600,1600
138,A00505,1591,1591
139,A00508,1585,1585
140,A00510,1635,1635
141,A00514,1614,1614
142,A00518,1589,1589
143,A00519,1636,1636
144,A00522,1562,1562
145,A00525,1533,1533
146,A00527,1606,1606
147,A00535,1618,1618
148,A00538,1593,1593
149,A00541,1623,1623
150,A00549,1633,1633
151,A00552,1622,1622
152,A00562,1599,1599
153,A00563,1591,1591
154,A00564,1615,1615
155,A00565,1599,1599
156,A00566,1598,1598
157,A00573,1638,1638
158,A00580,1623,1623
159,A00584,1630,1630
160,A00586,1635,1635
161,A00587,1626,1626
162,A00594,1629,1629
163,A00596,1623,1623
164,A00597,1630,1630
165,A00599,1626,1626
166,A00601,1626,1626
167,A00602,1624,1624
168,A00604,1638,1638
169,A00611,1588,1588
170,A00616,1557,1557
171,A00617,1589,1589
172,A00619,1623,1623
173,A00626,1628,1628
174,A00627,1590,1590
175,A00630,1584,1584
176,A00631,1602,1602
177,A00634,1588,1588
178,A00635,1592,1592
179,A00637,1584,1584
180,A00639,1586,1586
181,A00641,1590,1590
182,A00642,1588,1588
183,A00646,1617,1617
184,A00648,1615,1615
185,A00649,1616,1616
186,A00650,1612,1612
187,A00652,1622,1622
188,A00659,1575,1575
189,A00662,1572,1572
190,A00663,1603,1603
191,A00664,1599,1599
192,A00671,1611,1611
193,A00673,1542,1542
194,A00678,1620,1620
195,A00680,1620,1620
196,A00685,1563,1563
197,A00686,1584,1584
198,A00687,1572,1572
199,A00689,1578,1578
200,A00694,1609,1609
201,A00695,1640,1640
202,A00698,1559,1559
203,A00699,1622,1622
204,A00700,1593,1593
205,A00702,1590,1590
206,A00703,1582,1582
207,A00705,1527,1527
208,A00706,1623,1623
209,A00709,1615,1615
210,A00710,1592,1592
211,A00712,1574,1574
212,A00714,1581,1581
213,A00718,1572,1572
214,A00723,1618,1618
215,A00725,1612,1612
216,A00726,1604,1604
217,A00728,1628,1628
218,A00730,1592,1592
219,A00734,1592,1592
220,A00737,1635,1635
221,A00742,1589,1589
222,A00746,1621,1621
223,A00748,1590,1590
224,A00749,1640,1640
225,A00750,1558,1558
226,A00753,1604,1604
227,A00755,1580,1580
228,A00758,1546,1546
229,A00760,1633,1633
230,A00761,1636,1636
231,A00762,1560,1560
232,A00766,1509,1509
233,A00769,1526,1526
234,A00771,1521,1521
235,A00776,1578,1578
236,A00777,1616,1616
237,A00778,1588,1588
238,A00779,1509,1509
239,A00789,1532,1532
240,A00791,1623,1623
241,A00792,1565,1565
242,A00793,1626,1626
243,A00794,1614,1614
244,A00796,1605,1605
245,A00797,1626,1626
246,A00799,1558,1558
247,A00800,1592,1592
248,A00801,1591,1591
249,A00808,1577,1577
250,A00816,1637,1637
251,A00818,1631,1631
252,A00819,1591,1591
253,A00823,1596,1596
254,A00825,1618,1618
255,A00826,1617,1617
256,A00831,1583,1583
257,A00880,1579,1579
258,A00883,1530,1530
259,A00884,1540,1540
260,A00888,1614,1614
261,A00895,1523,1523
262,A00908,1602,1602
263,A00916,1613,1613
264,A00918,1495,1495
265,A00923,1600,1600
266,A00924,1583,1583
267,A00926,1640,1640
268,A00927,1626,1626
269,A00930,1624,1624
270,A00931,1580,1580
271,A00932,1580,1580
272,A00933,1583,1583
273,A00935,1581,1581
274,A00939,1580,1580
275,A00940,1582,1582
276,A00941,1576,1576
277,A00942,1629,1629
278,A00943,1577,1577
279,A00945,1595,1595
280,A00946,1593,1593
281,A00947,1591,1591
282,A00948,1610,1610
283,A00954,1623,1623
284,A00958,1639,1639
285,A00959,1640,1640
286,A00960,1637,1637
287,A00962,1610,1610
288,A00966,1640,1640
289,A00967,1640,1640
290,A00968,1621,1621
291,A00969,1634,1634
292,A00970,1613,1613
293,A00972,1628,1628
294,A00973,1628,1628
295,A00975,1632,1632
296,A00977,1633,1633
297,A00979,1631,1631
298,A00980,1632,1632
299,A00981,1603,1603
300,A00982,1606,1606
301,A00983,1593,1593
302,A00990,1578,1578
303,A00991,1598,1598
304,A00993,1616,1616
305,A00997,1619,1619
306,A01001,1619,1619
307,A01002,1578,1578
308,A01003,1604,1604
309,A01004,1620,1620
310,A01011,1639,1639
311,A01013,1600,1600
312,A01014,1631,1631
313,A01017,1610,1610
314,A01020,1629,1629
315,A01023,1631,1631
316,A01025,1635,1635
317,A01027,1626,1626
318,A01028,1616,1616
319,A01030,1632,1632
320,A01032,1632,1632
321,A01033,1616,1616
322,A01038,1638,1638
323,A01039,1638,1638
324,A01041,1614,1614
325,A01042,1627,1627
326,A01043,1625,1625
327,A01044,1633,1633
328,A01045,1631,1631
329,A01046,1633,1633
330,A01047,1634,1634
331,A01048,1606,1606
332,A01049,1638,1638
333,A01052,1639,1639
334,A01053,1620,1620
335,A01055,1629,1629
336,A01056,1633,1633
337,A01057,1633,1633
338,A01058,1607,1607
339,A01059,1640,1640
340,A01062,1607,1607
341,A01064,1603,1603
342,A01066,1615,1615
343,A01073,1591,1591
344,A01075,1606,1606
345,A01076,1624,1624
346,A01077,1615,1615
347,A01080,1567,1567
348,A01083,1616,1616
349,A01084,1640,1640
350,A01085,1622,1622
351,A01086,1604,1604
352,A01089,1638,1638
353,A01090,1631,1631
354,A01091,1631,1631
355,A01092,1629,1629
356,A01093,1622,1622
357,A01094,1608,1608
358,A01095,1612,1612
359,A01097,1591,1591
360,A01098,1623,1623
361,A01099,1612,1612
362,A01100,1581,1581
363,A01101,1594,1594
364,A01108,1635,1635
365,A01118,1579,1579
366,A01125,1587,1587
367,A01129,1580,1580
368,A01130,1580,1580
369,A01136,1578,1578
370,A01138,1614,1614
371,A01139,1639,1639
372,A01141,1620,1620
373,A01143,1589,1589
374,A01144,1617,1617
375,A01145,1588,1588
376,A01148,1608,1608
377,A01149,1566,1566
378,A01158,1639,1639
379,A01161,1595,1595
380,A01162,1592,1592
381,A01173,1575,1575
382,A01180,1628,1628
383,A01185,1619,1619
384,A01186,1621,1621
385,A01194,1613,1613
386,A01196,1582,1582
387,A01199,1550,1550
388,A01200,1618,1618
389,A01210,1640,1640
390,A01216,1601,1601
391,A01217,1615,1615
392,A01218,1615,1615
393,A01219,1566,1566
394,A01221,1605,1605
395,A01222,1604,1604
396,A01224,1588,1588
397,A01225,1591,1591
398,A01227,1591,1591
399,A01228,1592,1592
400,A01231,1588,1588
401,A01233,1632,1632
402,A01234,1639,1639
403,A01239,1620,1620
404,A01247,1629,1629
405,A01253,1639,1639
406,A01255,1597,1597
407,A01256,1614,1614
408,A01258,1589,1589
409,A01267,1630,1630
410,A01268,1533,1533
411,A01272,1537,1537
412,A01273,1531,1531
413,A01281,1615,1615
414,A01283,1539,1539
415,A01286,1587,1587
416,A01287,1600,1600
417,A01289,1601,1601
418,A01297,1560,1560
419,A01299,1583,1583
420,A01300,1574,1574
421,A01303,1611,1611
422,A01304,1571,1571
423,A01309,1583,1583
424,A01312,1580,1580
425,A01313,1563,1563
426,A01320,1573,1573
427,A01324,1581,1581
428,A01325,1580,1580
429,A01327,1571,1571
430,A01331,1577,1577
431,A01332,1581,1581
432,A01333,1580,1580
433,A01335,1577,1577
434,A01338,1607,1607
435,A01341,1631,1631
436,A01342,1639,1639
437,A01344,1640,1640
438,A01346,1626,1626
439,A01347,1628,1628
440,A01348,1536,1536
441,A01349,1540,1540
442,A01351,1579,1579
443,A01353,1587,1587
444,A01354,1575,1575
445,A01362,1589,1589
446,A01363,1562,1562
447,A01364,1600,1600
448,A01365,1570,1570
449,A01366,1537,1537
450,A01369,1600,1600
451,A01371,1596,1596
452,A01373,1570,1570
453,A01375,1618,1618
454,A01378,1532,1532
455,A01379,1626,1626
456,A01383,1584,1584
457,A01387,1571,1571
458,A01389,1625,1625
459,A01391,1623,1623
460,A01395,1618,1618
461,A01401,1616,1616
462,A01402,1616,1616
463,A01403,1616,1616
464,A01404,1619,1619
465,A01405,1618,1618
466,A01406,1610,1610
467,A01407,1617,1617
468,A01425,1630,1630
469,A01426,1601,1601
470,A01428,1621,1621
471,A01429,1604,1604
472,A01430,1607,1607
473,A01433,1638,1638
474,A01436,1560,1560
475,A01443,1611,1611
476,A01444,1610,1610
477,A01446,1638,1638
478,A01448,1603,1603
479,A01451,1606,1606
480,A01454,1638,1638
481,A01457,1553,1553
482,A01461,1553,1553
483,A01463,1546,1546
484,A01464,1546,1546
485,A01466,1551,1551
486,A01467,1548,1548
487,A01468,1553,1553
488,A01469,1534,1534
489,A01470,1625,1625
490,A01471,1609,1609
491,A01472,1618,1618
492,A01476,1496,1496
493,A01483,1629,1629
494,A01500,1594,1594
495,A01502,1595,1595
496,A01504,1591,1591
497,A01505,1566,1566
498,A01506,1578,1578
499,A01507,1579,1579
500,A01509,1578,1578
501,A01512,1600,1600
502,A01513,1573,1573
503,A01516,1605,1605
504,A01517,1576,1576
505,A01518,1576,1576
506,A01520,1575,1575
507,A01521,1576,1576
508,A01522,1576,1576
509,A01523,1627,1627
510,A01524,1626,1626
511,A01528,1624,1624
512,A01529,1624,1624
513,A01530,1620,1620
514,A01531,1640,1640
515,A01532,1624,1624
516,A01533,1620,1620
517,A01534,1623,1623
518,A01537,1624,1624
519,A01538,1627,1627
520,A01539,1623,1623
521,A01540,1623,1623
522,A01541,1620,1620
523,A01545,1619,1619
524,A01547,1638,1638
525,A01548,1621,1621
526,A01550,1622,1622
527,A01551,1620,1620
528,A01552,1627,1627
529,A01553,1620,1620
530,A01554,1623,1623
531,A01555,1579,1579
532,A01558,1612,1612
533,A01565,1610,1610
534,A01567,1583,1583
535,A01569,1615,1615
536,A01573,1612,1612
537,A01584,1568,1568
538,A01586,1635,1635
539,A01594,1562,1562
540,A01598,1637,1637
541,A01600,1614,1614
542,A01612,1625,1625
543,A01617,1614,1614
544,A01618,1569,1569
545,A01622,1633,1633
546,A01629,1587,1587
547,A01638,1632,1632
548,A01639,1626,1626
549,A01645,1638,1638
550,A01647,1638,1638
551,A01648,1638,1638
552,A01653,1638,1638
553,A01658,1576,1576
554,A01661,1550,1550
555,A01662,1559,1559
556,A01666,1577,1577
557,A01679,1604,1604
558,A01681,1588,1588
559,A01683,1597,1597
560,A01685,1591,1591
561,A01689,1612,1612
562,A01690,1619,1619
563,A01692,1627,1627
564,A01694,1599,1599
565,A01695,1579,1579
566,A01697,1571,1571
567,A01700,1620,1620
568,A01701,1584,1584
569,A01703,1584,1584
570,A01704,1614,1614
571,A01706,1548,1548
572,A01707,1570,1570
573,A01716,1593,1593
574,A01718,1587,1587
575,A01719,1589,1589
576,A01727,1582,1582
577,A01730,1590,1590
578,A01736,1590,1590
579,A01738,1594,1594
580,A01740,1580,1580
581,A01744,1631,1631
582,A01747,1601,1601
583,A01748,1601,1601
584,A01749,1576,1576
585,A01750,1640,1640
586,A01752,1548,1548
587,A01753,1575,1575
588,A01759,1638,1638
589,A01760,1637,1637
590,A01761,1581,1581
591,A01764,1585,1585
592,A01765,1559,1559
593,A01768,1628,1628
594,A01769,1554,1554
595,A01772,1639,1639
596,A01773,1640,1640
597,A01774,1587,1587
598,A01775,1640,1640
599,A01776,1639,1639
600,A01777,1639,1639
601,A01779,1640,1640
602,A01784,1532,1532
603,A01786,1576,1576
604,A01792,1570,1570
605,A01793,1616,1616
606,A01794,1615,1615
607,A01795,1616,1616
608,A01800,1604,1604
609,A01802,1601,1601
610,A01804,1625,1625
611,A01809,1629,1629
612,A01810,1628,1628
613,A01811,1630,1630
614,A01812,1603,1603
615,A01813,1602,1602
616,A01818,1614,1614
617,A01822,1616,1616
618,A01828,1533,1533
619,A01831,1550,1550
620,A01836,1632,1632
621,A01837,1627,1627
622,A01839,1631,1631
623,A01840,1633,1633
624,A01843,1573,1573
625,A01845,1580,1580
626,A01847,1588,1588
627,A01848,1581,1581
628,A01849,1639,1639
629,A01850,1628,1628
630,A01851,1633,1633
631,A01852,1634,1634
632,A01853,1628,1628
633,A01857,1625,1625
634,A01864,1588,1588
635,A01867,1630,1630
636,A01868,1635,1635
637,A01872,1637,1637
638,A01873,1618,1618
639,A01874,1621,1621
640,A01877,1625,1625
641,A01878,1569,1569
642,A01880,1558,1558
643,A01881,1622,1622
644,A01883,1616,1616
645,A01886,1632,1632
646,A01890,1624,1624
647,A01894,1637,1637
648,A01902,1636,1636
649,A01907,1520,1520
650,A01908,1542,1542
651,A01909,1563,1563
652,A01910,1569,1569
653,A01911,1606,1606
654,A01917,1612,1612
655,A01919,1603,1603
656,A01920,1604,1604
657,A01923,1603,1603
658,A01924,1604,1604
659,A01929,1615,1615
660,A01930,1615,1615
661,A01932,1625,1625
662,A01933,1618,1618
663,A01935,1636,1636
664,A01936,1638,1638
665,A01937,1639,1639
666,A01945,1510,1510
667,A01947,1586,1586
668,A01948,1623,1623
669,A01951,1582,1582
670,A01952,1595,1595
671,A01953,1579,1579
672,A01955,1598,1598
673,A01956,1619,1619
674,A01957,1568,1568
675,A01958,1616,1616
676,A01960,1542,1542
677,A01962,1541,1541
678,A01970,1626,1626
679,A01971,1615,1615
680,A01972,1630,1630
681,A01974,1631,1631
682,A01975,1626,1626
683,A01979,1619,1619
684,A01980,1639,1639
685,A01981,1632,1632
686,A01982,1616,1616
687,A01987,1570,1570
688,A01988,1561,1561
689,A01989,1640,1640
690,A01991,1607,1607
691,A01992,1621,1621
692,A01993,1490,1490
693,A01994,1506,1506
694,A01996,1635,1635
695,A01997,1483,1483
696,A02000,1640,1640
697,A02008,1571,1571
698,A02021,1609,1609
699,A02024,1611,1611
700,A02026,1625,1625
701,A02027,1577,1577
702,A02029,1616,1616
703,A02030,1616,1616
704,A02031,1621,1621
705,A02032,1616,1616
706,A02036,1616,1616
707,A02040,1568,1568
708,A02041,1570,1570
709,A02043,1581,1581
710,A02044,1594,1594
711,A02045,1562,1562
712,A02048,1574,1574
713,A02050,1602,1602
714,A02053,1604,1604
715,A02054,1613,1613
716,A02057,1636,1636
717,A02058,1609,1609
718,A02059,1609,1609
719,A02062,1540,1540
720,A02063,1540,1540
721,A02065,1562,1562
722,A02070,1599,1599
723,A02073,1617,1617
724,A02074,1589,1589
725,A02077,1617,1617
726,A02079,1592,1592
727,A02080,1589,1589
728,A02087,1636,1636
729,A02091,1599,1599
730,A02092,1592,1592
731,A02093,1615,1615
732,A02096,1587,1587
733,A02099,1591,1591
734,A02101,1602,1602
735,A02103,1592,1592
736,A02110,1590,1590
737,A02111,1590,1590
738,A02117,1593,1593
739,A02120,1599,1599
740,A02121,1592,1592
741,A02122,1584,1584
742,A02124,1608,1608
743,A02125,1594,1594
744,A02127,1594,1594
745,A02128,1630,1630
746,A02129,1583,1583
747,A02132,1591,1591
748,A02133,1589,1589
749,A02135,1599,1599
750,A02136,1584,1584
751,A02138,1584,1584
752,A02140,1592,1592
753,A02141,1591,1591
754,A02143,1588,1588
755,A02148,1638,1638
756,A02151,1636,1636
757,A02152,1601,1601
758,A02153,1588,1588
759,A02154,1592,1592
760,A02157,1585,1585
761,A02159,1592,1592
762,A02160,1592,1592
763,A02166,1592,1592
764,A02167,1590,1590
765,A02168,1598,1598
766,A02170,1638,1638
767,A02171,1589,1589
768,A02172,1603,1603
769,A02178,1612,1612
770,A02180,1595,1595
771,A02181,1598,1598
772,A02182,1597,1597
773,A02183,1612,1612
774,A02184,1595,1595
775,A02187,1608,1608
776,A02189,1620,1620
777,A02190,1634,1634
778,A02192,1615,1615
779,A02194,1606,1606
780,A02198,1603,1603
781,A02199,1640,1640
782,A02200,1589,1589
783,A02201,1587,1587
784,A02203,1568,1568
785,A02216,1585,1585
786,A02218,1578,1578
787,A02225,1627,1627
788,A02226,1633,1633
789,A02227,1609,1609
790,A02229,1570,1570
791,A02230,1596,1596
792,A02233,1633,1633
793,A02235,1634,1634
794,A02237,1598,1598
795,A02239,1608,1608
796,A02242,1564,1564
797,A02248,1506,1506
798,A02251,1600,1600
799,A02253,1626,1626
800,A02255,1621,1621
801,A02257,1600,1600
802,A02262,1640,1640
803,A02265,1615,1615
804,A02266,1623,1623
805,A02267,1632,1632
806,A02272,1547,1547
807,A02273,1587,1587
808,A02274,1572,1572
809,A02275,1636,1636
810,A02277,1604,1604
811,A02281,1596,1596
812,A02284,1602,1602
813,A02291,1581,1581
814,A02293,1578,1578
815,A02294,1577,1577
816,A02298,1560,1560
817,A02299,1619,1619
818,A02300,1548,1548
819,A02303,1537,1537
820,A02306,1570,1570
821,A02320,1634,1634
822,A02322,1638,1638
823,A02324,1639,1639
824,A02325,1632,1632
825,A02327,1639,1639
826,A02329,1579,1579
827,A02331,1554,1554
828,A02339,1604,1604
829,A02340,1542,1542
830,A02342,1559,1559
831,A02351,1633,1633
832,A02352,1625,1625
833,A02353,1620,1620
834,A02358,1627,1627
835,A02359,1624,1624
836,A02360,1608,1608
837,A02361,1621,1621
838,A02362,1612,1612
839,A02364,1598,1598
840,A02366,1587,1587
841,A02367,1616,1616
842,A02376,1586,1586
843,A02379,1531,1531
844,A02381,1533,1533
845,A02389,1578,1578
846,A02396,1619,1619
847,A02398,1631,1631
848,A02399,1547,1547
849,A02400,1624,1624
850,A02401,1581,1581
851,A02402,1597,1597
852,A02404,1631,1631
853,A02409,1633,1633
854,A02413,1635,1635
855,A02414,1626,1626
856,A02415,1633,1633
857,A02421,1588,1588
858,A02424,1554,1554
859,A02426,1557,1557
860,A02427,1625,1625
861,A02428,1592,1592
862,A02432,1549,1549
863,A02436,1606,1606
864,A02440,1602,1602
865,A02441,1619,1619
866,A02443,1588,1588
867,A02444,1603,1603
868,A02448,1579,1579
869,A02453,1640,1640
870,A02454,1640,1640
871,A02455,1640,1640
872,A02456,1605,1605
873,A02457,1591,1591
874,A02460,1628,1628
875,A02461,1606,1606
876,A02464,1581,1581
877,A02469,1565,1565
878,A02473,1622,1622
879,A02475,1623,1623
880,A02476,1575,1575
881,A02477,1579,1579
882,A02478,1604,1604
883,A02479,1587,1587
884,A02480,1574,1574
885,A02483,1616,1616
886,A02484,1627,1627
887,A02486,1613,1613
888,A02487,1626,1626
889,A02488,1621,1621
890,A02492,1632,1632
891,A02493,1615,1615
892,A02495,1599,1599
893,A02496,1614,1614
894,A02497,1617,1617
895,A02498,1576,1576
896,A02503,1565,1565
897,A02513,1606,1606
898,A02517,1623,1623
899,A02518,1639,1639
900,A02519,1635,1635
901,A02520,1640,1640
902,A02522,1610,1610
903,A02525,1612,1612
904,A02526,1614,1614
905,A02527,1615,1615
906,A02528,1618,1618
907,A02531,1622,1622
908,A02532,1626,1626
909,A02534,1608,1608
910,A02536,1611,1611
911,A02537,1623,1623
912,A02538,1606,1606
913,A02545,1607,1607
914,A02547,1613,1613
915,A02548,1620,1620
916,A02549,1641,1641
917,A02551,1630,1630
918,A02552,1603,1603
919,A02553,1605,1605
920,A02563,1628,1628
921,A02565,1628,1628
922,A02566,1629,1629
923,A02567,1609,1609
924,A02568,1609,1609
925,A02571,1608,1608
926,A02572,1617,1617
927,A02573,1546,1546
928,A02578,1617,1617
929,A02584,1629,1629
930,A02585,1618,1618
931,A02586,1637,1637
932,A02588,1609,1609
933,A02589,1626,1626
934,A02590,1624,1624
935,A02591,1624,1624
936,A02593,1624,1624
937,A02595,1548,1548
938,A02597,1626,1626
939,A02599,1551,1551
940,A02601,1534,1534
941,A02602,1552,1552
942,A02604,1598,1598
943,A02605,1640,1640
944,A02606,1615,1615
945,A02607,1622,1622
946,A02608,1620,1620
947,A02609,1620,1620
948,A02610,1611,1611
949,A02611,1609,1609
950,A02612,1627,1627
951,A02613,1561,1561
952,A02614,1586,1586
953,A02616,1581,1581
954,A02617,1581,1581
955,A02618,1619,1619
956,A02619,1619,1619
957,A02620,1548,1548
958,A02621,1550,1550
959,A02622,1604,1604
960,A02623,1594,1594
961,A02624,1604,1604
962,A02626,1613,1613
963,A02631,1565,1565
964,A02633,1544,1544
965,A02635,1567,1567
966,A02638,1543,1543
967,A02641,1610,1610
968,A02643,1632,1632
969,A02644,1596,1596
970,A02645,1596,1596
971,A02647,1618,1618
972,A02649,1596,1596
973,A02652,1596,1596
974,A02655,1590,1590
975,A02657,1573,1573
976,A02658,1547,1547
977,A02662,1553,1553
978,A02665,1584,1584
979,A02668,1543,1543
980,A02673,1609,1609
981,A02674,1629,1629
982,A02679,1633,1633
983,A02680,1635,1635
984,A02681,1634,1634
985,A02685,1610,1610
986,A02702,1626,1626
987,A02722,1630,1630
988,A02724,1613,1613
989,A02725,1613,1613
990,A02726,1547,1547
991,A02727,1619,1619
992,A02728,1619,1619
993,A02730,1633,1633
994,A02731,1583,1583
995,A02732,1604,1604
996,A02734,1634,1634
997,A02735,1602,1602
998,A02738,1548,1548
999,A02739,1625,1625
1000,A02741,1639,1639
1001,A02744,1638,1638
1002,A02746,1630,1630
1003,A02749,1562,1562
1004,A02750,1603,1603
1005,A02753,1599,1599
1006,A02754,1629,1629
1007,A02755,1640,1640
1008,A02758,1633,1633
1009,A02762,1616,1616
1010,A02764,1608,1608
1011,A02769,1640,1640
1012,A02772,1549,1549
1013,A02774,1593,1593
1014,A02775,1593,1593
1015,A02777,1597,1597
1016,A02778,1583,1583
1017,A02779,1588,1588
1018,A02783,1590,1590
1019,A02784,1599,1599
1020,A02786,1607,1607
1021,A02788,1544,1544
1022,A02791,1601,1601
1023,A02792,1592,1592
1024,A02794,1595,1595
1025,A02795,1587,1587
1026,A02796,1598,1598
1027,A02797,1600,1600
1028,A02798,1596,1596
1029,A02799,1615,1615
1030,A02800,1616,1616
1031,A02806,1569,1569
1032,A02807,1552,1552
1033,A02811,1509,1509
1034,A02813,1504,1504
1035,A02817,1554,1554
1036,A02820,1509,1509
1037,A02822,1632,1632
1038,A02823,1633,1633
1039,A02825,1545,1545
1040,A02826,1622,1622
1041,A02827,1627,1627
1042,A02831,1563,1563
1043,A02832,1617,1617
1044,A02833,1627,1627
1045,A02834,1616,1616
1046,A02836,1628,1628
1047,A02837,1632,1632
1048,A02841,1607,1607
1049,A02843,1602,1602
1050,A02844,1603,1603
1051,A02846,1614,1614
1052,A02848,1603,1603
1053,A02849,1623,1623
1054,A02852,1623,1623
1055,A02855,1599,1599
1056,A02858,1630,1630
1057,A02861,1613,1613
1058,A02862,1606,1606
1059,A02864,1601,1601
1060,A02872,1570,1570
1061,A02874,1604,1604
1062,A02878,1637,1637
1063,A02881,1579,1579
1064,A02882,1548,1548
1065,A02883,1549,1549
1066,A02886,1545,1545
1067,A02894,1618,1618
1068,A02895,1574,1574
1069,A02897,1569,1569
1070,A02903,1631,1631
1071,A02904,1601,1601
1072,A02906,1547,1547
1073,A02908,1589,1589
1074,A02909,1630,1630
1075,A02911,1548,1548
1076,A02913,1615,1615
1077,A02914,1611,1611
1078,A02916,1580,1580
1079,A02919,1581,1581
1080,A02921,1577,1577
1081,A02923,1569,1569
1082,A02926,1574,1574
1083,A02928,1578,1578
1084,A02934,1509,1509
1085,A02945,1547,1547
1086,A02947,1543,1543
1087,A02948,1556,1556
1088,A02949,1576,1576
1089,A02951,1585,1585
1090,A02952,1588,1588
1091,A02955,1589,1589
1092,A02956,1589,1589
1093,A02957,1589,1589
1094,A02959,1613,1613
1095,A02961,1587,1587
1096,A02967,1585,1585
1097,A02968,1585,1585
1098,A02970,1586,1586
1099,A02971,1589,1589
1100,A02973,1590,1590
1101,A02974,1591,1591
1102,A02975,1594,1594
1103,A02976,1595,1595
1104,A02977,1577,1577
1105,A02983,1590,1590
1106,A02990,1640,1640
1107,A02995,1590,1590
1108,A02997,1594,1594
1109,A03002,1611,1611
1110,A03007,1570,1570
1111,A03019,1610,1610
1112,A03022,1610,1610
1113,A03023,1593,1593
1114,A03024,1570,1570
1115,A03025,1631,1631
1116,A03030,1637,1637
1117,A03032,1598,1598
1118,A03040,1552,1552
1119,A03047,1481,1481
1120,A03054,1633,1633
1121,A03056,1623,1623
1122,A03057,1640,1640
1123,A03058,1633,1633
1124,A03065,1634,1634
1125,A03067,1587,1587
1126,A03068,1587,1587
1127,A03069,1577,1577
1128,A03083,1553,1553
1129,A03092,1640,1640
1130,A03094,1556,1556
1131,A03097,1584,1584
1132,A03103,1540,1540
1133,A03109,1598,1598
1134,A03110,1570,1570
1135,A03111,1636,1636
1136,A03115,1610,1610
1137,A03116,1617,1617
1138,A03119,1604,1604
1139,A03120,1618,1618
1140,A03124,1585,1585
1141,A03126,1520,1520
1142,A03128,1621,1621
1143,A03130,1570,1570
1144,A03133,1630,1630
1145,A03134,1633,1633
1146,A03136,1637,1637
1147,A03139,1637,1637
1148,A03140,1628,1628
1149,A03141,1636,1636
1150,A03144,1631,1631
1151,A03146,1636,1636
